order_id,order_date,delivery_zone,distance_km,traffic_level,package_weight_kg,order_hour,delivery_minutes,transport_cost,on_time
ORD00084,2026-06-04,South,7.13,Medium,7.13,14,47.3,109.87,True
ORD00085,2026-07-27,South,11.27,High,3.39,13,103.7,127.48,False
ORD00086,2026-07-22,West,17.19,Medium,1.5,17,99.5,143.36,False
ORD00087,2026-07-15,West,7.8,Low,4.71,15,43.4,112.25,True
ORD00088,2026-06-04,Central,4.07,Medium,0.58,15,20.3,53.84,True
ORD00089,2026-06-04,East,12.24,Medium,1.11,15,55.3,103.5,True
ORD00090,2026-07-09,North,8.76,Medium,2.66,10,54.1,119.38,True
ORD00091,2026-06-21,West,12.36,Low,4.28,17,56.6,99.83,True
ORD00092,2026-07-14,West,7.81,Medium,2.12,13,63.3,125.57,True
ORD00093,2026-06-02,East,9.28,Low,1.94,14,43.6,106.92,True
ORD00094,2026-06-16,West,10.44,Medium,2.03,16,70.6,102.6,False
ORD00095,2026-06-07,East,10.96,Medium,5.24,17,66.5,127.14,True
ORD00096,2026-06-19,East,11.56,Medium,1.3,17,50.4,119.04,True
ORD00097,2026-07-13,East,15.77,Low,1.04,19,93.3,132.88,False
ORD00098,2026-07-03,North,10.74,Medium,2.01,11,77.1,132.67,False
ORD00099,2026-06-09,North,9.98,Low,5.73,12,67.2,136.63,True
ORD00100,2026-07-07,North,9.58,Low,1.43,15,49.1,131.02,True
ORD00101,2026-07-28,West,9.94,High,2.03,8,65.1,88.48,False
ORD00102,2026-06-17,South,11.02,High,0.57,19,97.6,106.58,False
ORD00103,2026-06-27,East,7.11,Medium,2.1,13,62.8,68.42,True
ORD00104,2026-07-03,Central,4.51,High,2.96,11,51.8,58.62,True
ORD00105,2026-07-19,South,13.95,High,0.82,12,125.7,120.22,False
ORD00106,2026-06-12,South,6.98,High,5.24,18,88.5,93.68,False
ORD00107,2026-07-27,West,14.42,Low,2.93,12,83.6,140.47,False
ORD00108,2026-07-15,South,13.95,High,1.63,9,83.7,126.2,False
ORD00109,2026-07-26,North,8.65,Medium,2.95,15,45.5,108.19,True
ORD00110,2026-06-11,South,3.63,Low,3.54,9,40.4,72.32,True
ORD00111,2026-06-13,North,7.18,Low,0.41,11,46.5,98.14,True
ORD00112,2026-07-01,Central,7.89,Medium,3.03,19,51.1,103.96,True
ORD00113,2026-06-13,Central,3.93,Low,5.6,20,32.1,64.93,True
ORD00114,2026-07-08,West,8.0,Low,1.28,12,50.9,85.64,True
ORD00115,2026-06-26,Central,2.49,Low,1.65,8,18.8,52.15,True
ORD00116,2026-07-01,Central,6.52,High,1.89,13,55.5,85.61,True
ORD00117,2026-06-22,North,10.64,High,4.31,9,71.4,130.17,False
ORD00118,2026-06-06,Central,3.28,Low,0.96,12,23.1,58.76,True
ORD00119,2026-06-20,East,6.9,High,3.42,13,60.2,96.15,True
ORD00120,2026-06-21,Central,2.82,High,1.91,18,45.2,42.77,True
ORD00121,2026-06-10,Central,1.23,High,7.35,15,32.1,63.37,True
ORD00122,2026-06-19,South,14.85,Low,2.0,16,61.0,111.95,False
ORD00123,2026-07-05,North,8.03,Medium,0.2,20,32.1,88.36,True
ORD00124,2026-06-26,South,13.65,High,3.89,19,120.9,145.17,False
ORD00125,2026-06-07,East,12.56,Medium,3.3,13,96.0,109.7,False
ORD00126,2026-07-07,Central,6.99,Low,2.84,12,43.6,89.3,True
ORD00127,2026-06-08,Central,2.71,Medium,5.49,19,27.6,69.41,True
ORD00128,2026-06-05,North,10.21,Medium,0.48,11,57.0,118.65,True
ORD00129,2026-07-14,East,7.93,Medium,1.13,9,51.9,75.54,True
ORD00130,2026-07-06,South,7.29,Low,2.41,9,25.0,98.52,True
ORD00131,2026-07-21,South,10.97,Low,2.73,14,63.9,126.51,True
ORD00132,2026-06-28,North,5.46,High,2.15,12,49.0,72.2,True
ORD00133,2026-07-20,South,13.56,High,0.58,14,86.0,124.11,False
ORD00134,2026-06-03,Central,2.61,Low,1.67,20,34.6,66.88,True
ORD00135,2026-07-09,South,10.6,High,7.01,18,104.5,115.17,False
ORD00136,2026-06-08,East,8.85,Low,0.92,8,53.1,86.26,True
ORD00137,2026-06-15,West,10.22,Medium,2.37,8,72.6,108.64,False
ORD00138,2026-07-23,South,11.76,High,3.43,12,96.7,145.61,False
ORD00139,2026-06-27,Central,2.58,High,4.22,9,40.9,59.67,True
ORD00140,2026-07-19,Central,6.61,High,3.87,15,65.8,86.02,True
ORD00141,2026-07-21,South,5.96,Low,1.57,10,32.8,93.91,True
ORD00142,2026-07-06,East,8.38,High,1.12,8,59.4,97.12,True
ORD00143,2026-06-16,South,15.82,Low,7.39,20,58.4,190.04,True
ORD00144,2026-06-26,South,7.0,Medium,4.51,9,55.3,107.55,True
ORD00145,2026-07-15,North,6.97,Medium,2.55,17,26.5,84.24,True
ORD00146,2026-07-14,West,12.54,Medium,6.13,17,81.7,133.81,False
ORD00147,2026-06-04,East,8.54,Low,0.71,14,31.8,78.59,True
ORD00148,2026-06-12,North,10.05,High,0.21,13,102.9,80.56,False
ORD00149,2026-06-17,South,11.47,Low,2.7,19,72.5,119.97,False
ORD00150,2026-07-28,Central,5.9,Low,2.8,15,45.0,87.66,True
ORD00151,2026-07-11,South,13.33,Medium,0.64,14,64.7,128.3,True
ORD00152,2026-07-14,North,10.23,Medium,4.4,17,51.7,113.49,True
ORD00153,2026-06-26,East,7.28,High,0.33,20,40.8,101.84,True
ORD00154,2026-07-01,Central,6.02,Medium,3.15,15,52.2,66.04,True
ORD00155,2026-06-15,South,15.7,Low,3.68,10,74.6,129.84,False
ORD00156,2026-07-22,West,10.6,High,2.68,13,104.3,100.33,False
ORD00157,2026-07-04,West,8.08,Medium,0.55,20,51.5,84.88,True
ORD00158,2026-06-29,South,13.32,Low,5.45,14,68.0,126.31,False
ORD00159,2026-06-09,West,10.64,Medium,1.61,17,58.7,122.08,True
ORD00160,2026-06-14,South,3.48,Medium,1.62,18,40.0,50.57,True
ORD00161,2026-07-06,West,13.54,Medium,1.36,8,66.0,112.73,True
ORD00162,2026-06-04,West,9.39,Medium,3.97,8,55.7,120.4,True
ORD00163,2026-07-29,East,7.73,High,1.55,14,83.1,89.23,False
ORD00164,2026-07-08,North,10.0,High,0.84,20,70.6,107.92,True
ORD00165,2026-07-26,Central,4.57,Medium,4.76,18,31.1,79.14,True
ORD00166,2026-07-07,South,12.13,Low,2.33,20,53.1,121.88,True
ORD00167,2026-07-30,North,7.69,High,4.87,10,53.7,83.26,True
ORD00168,2026-06-24,North,10.54,Medium,2.46,10,62.8,107.06,True
ORD00169,2026-06-17,East,7.22,Medium,1.28,12,51.4,69.74,True
ORD00170,2026-06-13,West,13.22,Medium,0.4,18,90.7,141.04,False
ORD00171,2026-06-20,North,10.85,High,2.71,13,94.7,127.4,False
ORD00172,2026-06-17,East,5.19,Medium,1.89,9,40.3,63.85,True
ORD00173,2026-07-21,South,13.26,Low,4.08,10,56.9,130.82,True
ORD00174,2026-06-27,West,9.39,Medium,1.49,13,74.2,95.38,False
ORD00175,2026-07-25,North,11.42,High,3.22,10,96.3,143.63,False
ORD00176,2026-07-03,West,12.1,Low,2.39,12,62.6,123.46,True
ORD00177,2026-06-21,South,15.51,High,1.19,16,106.5,130.71,False
ORD00178,2026-06-17,Central,3.33,Medium,1.59,19,16.5,60.08,True
ORD00179,2026-06-22,North,7.95,Medium,0.69,10,47.0,66.14,True
ORD00180,2026-06-25,South,9.94,Low,7.73,19,69.9,126.2,True
ORD00181,2026-06-03,North,8.09,Low,3.17,18,48.7,82.93,True
ORD00182,2026-06-27,Central,6.4,High,0.65,20,36.2,52.16,True
ORD00183,2026-06-27,Central,0.5,Low,7.47,20,24.5,88.46,True
ORD00184,2026-07-16,South,6.84,High,0.91,13,80.3,77.95,False
ORD00185,2026-06-12,West,7.8,Medium,1.47,18,60.9,77.59,True
ORD00186,2026-06-15,Central,6.85,Low,2.0,12,52.4,62.56,True
ORD00187,2026-07-08,East,13.13,Low,2.43,12,85.5,122.91,False
ORD00188,2026-06-20,East,7.69,Medium,4.01,18,83.9,95.02,False
ORD00189,2026-06-22,South,9.49,High,0.3,13,79.2,102.15,False
ORD00190,2026-06-02,North,9.21,Medium,2.46,13,63.8,88.75,True
ORD00191,2026-06-04,Central,7.49,Medium,1.92,8,45.9,80.32,True
ORD00192,2026-07-15,Central,1.22,Low,2.75,18,28.4,38.37,True
ORD00193,2026-06-13,West,11.72,Medium,1.84,16,47.2,111.26,True
ORD00194,2026-07-25,South,12.93,Medium,1.65,12,97.3,97.03,False
ORD00195,2026-07-02,South,11.5,High,2.19,8,81.2,104.32,False
ORD00196,2026-07-29,West,11.57,Medium,7.2,15,66.8,142.99,True
ORD00197,2026-06-22,Central,7.0,Medium,1.68,14,49.4,67.87,True
ORD00198,2026-06-25,Central,0.5,Low,5.29,14,29.5,67.46,True
ORD00199,2026-06-27,West,13.03,High,2.66,12,125.4,136.37,False
ORD00200,2026-07-25,West,9.04,Low,2.57,8,46.9,111.02,True
ORD00201,2026-06-17,North,3.51,Low,2.77,16,31.9,64.38,True
ORD00202,2026-06-06,North,10.53,Medium,3.42,18,82.4,111.7,False
ORD00203,2026-07-13,Central,8.12,Medium,1.79,16,60.6,94.14,True
ORD00204,2026-07-21,West,10.59,Medium,5.05,15,67.6,135.87,True
ORD00205,2026-06-16,North,11.86,Medium,3.43,12,93.0,136.24,False
ORD00206,2026-06-08,North,13.84,High,0.75,10,98.2,103.14,False
ORD00207,2026-07-03,West,14.94,Low,0.2,15,78.7,117.49,False
ORD00208,2026-06-10,North,13.92,High,7.05,8,93.8,137.44,False
ORD00209,2026-07-04,North,11.23,Medium,2.83,10,77.8,123.58,False
ORD00210,2026-06-19,East,8.23,Medium,0.67,19,83.4,78.13,False
ORD00211,2026-06-14,West,6.19,Medium,1.68,18,48.7,74.88,True
ORD00212,2026-06-03,West,10.26,Low,4.51,14,51.1,136.14,True
ORD00213,2026-07-25,South,7.47,High,2.09,11,54.5,100.79,True
ORD00214,2026-07-26,West,17.51,Medium,2.24,14,95.6,169.76,False
ORD00215,2026-07-11,South,9.47,Low,3.95,19,46.9,99.56,True
ORD00216,2026-06-23,South,10.37,Medium,3.04,18,74.7,76.91,False
ORD00217,2026-07-10,West,12.65,High,3.61,20,85.6,122.67,False
ORD00218,2026-06-11,West,11.13,Medium,3.92,12,81.2,101.53,False
ORD00219,2026-07-17,Central,9.09,High,1.32,13,82.7,71.27,False
ORD00220,2026-06-06,West,9.13,Low,1.43,14,41.9,108.91,True
ORD00221,2026-07-04,East,8.58,Low,1.18,20,50.0,80.05,True
ORD00222,2026-06-01,North,6.77,Low,1.49,17,42.6,70.6,True
ORD00223,2026-07-05,South,6.04,Medium,2.17,19,66.2,73.98,False
ORD00224,2026-06-25,South,8.16,Low,2.29,14,49.9,112.45,True
ORD00225,2026-06-29,South,9.89,Low,6.01,14,44.5,117.58,True
ORD00226,2026-06-23,Central,2.71,High,2.93,14,31.6,71.35,True
ORD00227,2026-06-18,South,7.92,High,2.2,18,75.5,86.95,False
ORD00228,2026-06-14,Central,0.5,Medium,0.96,20,20.2,18.32,True
ORD00229,2026-06-17,West,10.75,Low,1.88,20,60.2,93.5,True
ORD00230,2026-06-02,Central,0.5,Low,7.41,14,26.2,64.33,True
ORD00231,2026-07-01,East,10.28,Low,7.33,10,57.5,128.9,True
ORD00232,2026-06-19,East,8.25,Medium,1.86,19,65.2,97.93,True
ORD00233,2026-07-02,East,3.63,High,0.46,10,41.7,62.03,True
ORD00234,2026-07-24,North,8.07,Medium,1.66,14,45.9,100.24,True
ORD00235,2026-06-28,West,8.74,Low,6.05,9,38.0,103.01,True
ORD00236,2026-07-11,South,10.96,Medium,2.18,9,68.1,132.31,False
ORD00237,2026-06-08,North,13.02,Low,3.95,10,64.0,154.25,True
ORD00238,2026-07-12,West,5.37,Medium,2.38,11,50.6,68.68,True
ORD00239,2026-07-11,North,9.35,Medium,0.61,13,50.7,83.78,True
ORD00240,2026-07-29,Central,3.52,Medium,2.44,20,31.5,41.71,True
ORD00241,2026-07-29,Central,6.01,Low,4.32,15,39.9,89.29,True
ORD00242,2026-07-10,Central,4.64,Low,1.48,17,19.4,71.8,True
ORD00243,2026-07-09,South,7.74,High,4.24,17,61.1,91.19,True
ORD00244,2026-06-22,North,8.04,Low,2.56,14,53.0,96.42,True
ORD00245,2026-06-24,Central,1.61,Low,4.09,11,41.3,41.0,True
ORD00246,2026-07-08,East,11.23,Low,3.07,9,62.2,127.49,True
ORD00247,2026-06-02,Central,4.06,Low,1.02,9,26.5,54.33,True
ORD00248,2026-07-11,Central,9.7,Medium,1.89,11,67.5,104.48,True
ORD00249,2026-07-11,Central,3.82,High,1.84,13,53.4,65.07,True
ORD00250,2026-06-19,South,7.87,Low,1.42,10,37.9,63.62,True
ORD00251,2026-07-11,South,5.46,Medium,2.89,13,45.3,87.63,True
ORD00252,2026-06-02,Central,0.5,Medium,8.28,12,25.7,58.61,True
ORD00253,2026-06-28,South,5.25,Medium,5.05,12,42.7,87.75,True
ORD00254,2026-07-02,North,9.8,High,5.51,9,71.9,99.93,False
ORD00255,2026-06-19,East,9.53,High,1.34,15,72.2,91.8,False
ORD00256,2026-06-16,Central,0.5,Low,5.57,12,31.7,61.0,True
ORD00257,2026-06-30,West,13.69,High,6.83,18,123.7,134.69,False
ORD00258,2026-06-22,East,6.55,Medium,1.31,9,54.8,65.79,True
ORD00259,2026-06-14,North,9.44,High,3.32,14,75.2,106.81,False
ORD00260,2026-07-22,West,15.84,Medium,3.38,20,90.2,145.12,False
ORD00261,2026-07-26,Central,6.69,High,2.0,16,46.2,86.08,True
ORD00262,2026-06-01,North,8.19,High,2.73,16,77.0,90.32,False
ORD00263,2026-07-15,East,5.33,Low,3.5,8,40.3,87.02,True
ORD00264,2026-07-24,Central,0.5,Medium,2.11,14,16.7,35.31,True
ORD00265,2026-06-02,West,8.84,High,4.89,16,64.4,115.18,True
ORD00266,2026-06-22,West,10.37,High,0.76,13,92.3,89.69,False
ORD00267,2026-07-16,West,8.04,Low,1.84,8,34.6,82.65,True
ORD00268,2026-07-03,South,9.61,Medium,4.01,9,67.3,118.05,True
ORD00269,2026-06-15,South,10.23,Low,7.72,11,48.9,122.75,True
ORD00270,2026-07-20,Central,3.33,Low,5.1,11,33.6,58.98,True
ORD00271,2026-07-11,Central,2.05,Medium,2.68,9,22.9,75.34,True
ORD00272,2026-06-22,Central,4.51,Low,2.19,15,37.2,68.07,True
ORD00273,2026-07-10,Central,5.33,High,1.92,9,52.5,78.34,True
ORD00274,2026-07-09,East,4.73,Low,1.93,10,27.1,41.7,True
ORD00275,2026-07-11,East,12.23,High,0.39,11,81.7,127.13,False
ORD00276,2026-07-11,Central,3.7,Low,7.51,16,23.6,117.37,True
ORD00277,2026-06-11,West,11.06,Low,2.32,17,66.5,126.52,True
ORD00278,2026-06-04,West,13.12,Low,1.24,8,66.9,137.13,True
ORD00279,2026-06-07,Central,4.7,Low,3.28,15,22.5,69.42,True
ORD00280,2026-06-21,Central,6.86,Low,1.32,19,40.2,83.15,True
ORD00281,2026-06-07,South,10.86,Low,4.58,12,67.6,125.69,False
ORD00282,2026-06-04,South,8.16,Medium,1.27,14,50.7,80.02,True
ORD00283,2026-06-12,North,10.08,Low,4.13,15,46.3,111.41,True
ORD00284,2026-07-28,East,4.57,Medium,1.9,12,34.5,55.67,True
ORD00285,2026-06-27,North,9.33,Medium,2.98,15,60.2,98.39,True
ORD00286,2026-07-29,East,7.9,High,4.35,17,76.7,109.71,False
ORD00287,2026-06-17,East,7.38,High,1.57,18,73.3,63.35,False
ORD00288,2026-06-20,South,9.61,Medium,4.28,15,57.4,121.91,True
ORD00289,2026-07-01,East,2.35,Low,0.42,16,19.8,28.14,True
ORD00290,2026-06-26,North,7.35,Low,6.48,9,36.9,105.65,True
ORD00291,2026-07-01,North,9.28,High,4.79,10,65.4,112.15,True
ORD00292,2026-07-05,Central,4.48,Low,2.25,8,40.9,75.44,True
ORD00293,2026-06-09,South,6.92,Low,5.38,11,26.5,95.39,True
ORD00294,2026-06-05,North,12.8,Low,5.01,12,78.4,121.69,False
ORD00295,2026-07-22,East,5.4,Low,2.42,18,42.1,77.49,True
ORD00296,2026-07-18,West,13.91,Low,2.4,8,63.1,156.55,True
ORD00297,2026-06-08,North,10.28,High,1.11,15,78.0,101.32,False
ORD00298,2026-06-21,West,9.06,Low,2.51,9,47.2,88.86,True
ORD00299,2026-06-16,North,14.33,Medium,0.59,8,71.6,119.99,False
ORD00300,2026-07-21,North,5.42,Low,4.1,9,31.6,84.25,True
ORD00301,2026-06-16,East,10.76,Low,4.16,20,64.4,114.17,True
ORD00302,2026-06-18,East,11.0,High,0.42,12,107.6,98.38,False
ORD00303,2026-07-17,West,8.99,Low,6.07,16,73.5,129.85,True
ORD00304,2026-07-26,West,15.18,High,1.45,16,96.9,140.95,False
ORD00305,2026-06-28,Central,3.25,Medium,12.93,9,37.6,104.01,True
ORD00306,2026-06-18,East,8.87,Low,2.86,9,50.1,98.31,True
ORD00307,2026-06-14,South,10.78,High,6.11,10,83.8,127.82,False
ORD00308,2026-07-26,Central,3.6,Low,1.07,14,32.8,64.6,True
ORD00309,2026-07-18,South,12.43,High,1.89,18,118.5,134.14,False
ORD00310,2026-07-07,East,10.38,Low,1.56,10,54.9,99.08,True
ORD00311,2026-07-10,North,3.75,High,0.58,8,44.7,44.91,True
ORD00312,2026-06-16,North,12.91,Low,0.76,13,83.4,110.45,False
ORD00313,2026-06-21,Central,0.5,Medium,2.19,10,29.3,31.94,True
ORD00314,2026-06-01,Central,7.1,High,3.2,8,39.0,71.26,True
ORD00315,2026-07-30,West,14.38,High,0.97,20,96.2,144.47,False
ORD00316,2026-06-11,South,6.73,High,1.8,11,46.2,91.54,True
ORD00317,2026-06-11,North,7.77,High,1.32,20,67.2,58.63,False
ORD00318,2026-06-02,North,5.68,High,2.3,8,30.2,79.21,True
ORD00319,2026-07-02,South,9.36,Low,3.88,8,61.0,102.58,True
ORD00320,2026-07-24,East,7.08,Low,2.61,19,42.7,81.0,True
ORD00321,2026-06-19,West,13.34,Low,1.5,9,50.6,93.17,True
ORD00322,2026-07-26,West,14.93,Medium,4.9,17,85.4,147.33,False
ORD00323,2026-06-05,South,14.19,Medium,3.12,15,74.5,136.24,False
ORD00324,2026-06-03,Central,2.31,Medium,2.67,9,41.8,42.13,True
ORD00325,2026-06-28,West,10.37,Low,0.98,18,73.5,121.01,True
ORD00326,2026-06-26,East,2.95,Medium,4.55,9,28.2,77.78,True
ORD00327,2026-06-23,West,8.58,Low,3.35,18,65.5,87.06,True
ORD00328,2026-06-30,South,12.89,Low,3.48,18,72.2,140.71,False
ORD00329,2026-06-08,South,14.85,Medium,2.03,17,74.6,129.44,False
ORD00330,2026-07-06,South,6.3,High,1.75,17,56.9,90.94,True
ORD00331,2026-06-29,West,9.22,Medium,7.54,15,73.3,104.3,False
ORD00332,2026-06-13,North,8.92,Medium,1.73,19,65.3,97.29,False
ORD00333,2026-07-29,North,9.84,Low,0.81,13,57.1,82.77,True
ORD00334,2026-06-25,North,6.57,Medium,2.77,19,58.7,74.3,True
ORD00335,2026-06-22,North,10.27,Low,2.4,18,56.5,83.67,True
ORD00336,2026-07-16,Central,2.58,Medium,5.05,11,43.8,53.16,True
ORD00337,2026-07-03,West,10.96,Medium,2.15,10,55.7,95.36,True
ORD00338,2026-07-07,East,9.64,Low,3.8,8,45.0,92.23,True
ORD00339,2026-07-23,North,9.02,Low,6.35,18,76.5,117.56,False
ORD00340,2026-06-07,East,6.69,High,3.21,10,56.6,65.78,True
ORD00341,2026-06-23,East,7.67,High,1.03,19,90.1,87.77,False
ORD00342,2026-06-06,North,8.73,Medium,3.28,16,53.2,112.62,True
ORD00343,2026-06-15,East,6.89,Low,1.83,12,68.0,71.8,True
ORD00344,2026-06-15,South,9.22,Low,2.91,20,52.6,101.16,True
ORD00345,2026-07-10,West,15.8,Medium,2.41,13,103.6,138.77,False
ORD00346,2026-07-04,West,12.68,High,0.79,12,106.3,110.82,False
ORD00347,2026-06-14,North,8.11,Low,2.14,8,31.7,61.06,True
ORD00348,2026-06-29,South,12.09,High,0.98,17,71.1,99.18,False
ORD00349,2026-06-16,West,10.0,Low,1.62,8,43.5,119.33,True
ORD00350,2026-06-29,East,11.52,High,4.54,11,74.7,127.83,False
ORD00351,2026-06-23,Central,5.11,Medium,2.56,10,18.4,71.06,True
ORD00352,2026-06-10,West,10.68,High,3.64,18,107.1,90.45,False
ORD00353,2026-07-17,North,10.34,Low,2.71,15,57.3,115.73,True
ORD00354,2026-07-25,North,4.29,Medium,1.93,19,44.6,55.03,True
ORD00355,2026-06-04,West,7.62,Low,2.92,19,43.3,76.94,True
ORD00356,2026-06-12,North,5.42,Low,0.49,14,46.1,53.63,True
ORD00357,2026-07-12,East,8.43,High,4.11,18,82.3,108.18,False
ORD00358,2026-07-04,Central,9.2,High,1.21,14,59.7,94.01,True
ORD00359,2026-06-04,East,14.69,High,3.48,15,100.6,150.5,False
ORD00360,2026-06-20,South,11.91,Medium,1.87,17,68.0,128.8,True
ORD00361,2026-06-28,West,12.5,High,0.79,14,63.9,105.71,True
